year,Current Prices (USD millions),Flow Class,donor
2002,17763.50032,ODA,Official Donors
2003,24288.16335,ODA,Official Donors
2004,27253.00851,ODA,Official Donors
2005,34326.73296,ODA,Official Donors
2006,81264.32024,ODA,Official Donors
2007,35793.14153,ODA,Official Donors
2008,40499.04553,ODA,Official Donors
2009,44238.36611,ODA,Official Donors
2010,45851.39171,ODA,Official Donors
2011,49340.47233,ODA,Official Donors
2012,47257.18163,ODA,Official Donors
2013,49248.22715,ODA,Official Donors
2014,46790.21476,ODA,Official Donors
2015,46528.47765,ODA,Official Donors
2016,45210.88223,ODA,Official Donors
2017,50421.76943,ODA,Official Donors
2018,51677.08583,ODA,Official Donors
2019,54235.24706,ODA,Official Donors
2002,215.278575,OOF,Official Donors
2003,374.109206,OOF,Official Donors
2004,408.077833,OOF,Official Donors
2005,982.709985,OOF,Official Donors
2006,579.061962,OOF,Official Donors
2007,871.395318,OOF,Official Donors
2008,1478.018572,OOF,Official Donors
2009,3343.796578,OOF,Official Donors
2010,2205.924018,OOF,Official Donors
2011,3135.796576,OOF,Official Donors
2012,3169.840018,OOF,Official Donors
2013,2685.212733,OOF,Official Donors
2014,3880.074584,OOF,Official Donors
2015,3413.738379,OOF,Official Donors
2016,3109.56723,OOF,Official Donors
2017,5722.757657,OOF,Official Donors
2018,4161.818799,OOF,Official Donors
2019,5501.954595,OOF,Official Donors